Round,Day,Venue,Result,GF,GA,Opponent,Captain
Matchweek 1,Sat,Home,W,3,1,Aston Villa,Hugo Lloris
Matchweek 2,Sat,Away,D,2,2,Manchester City,Hugo Lloris
Matchweek 3,Sun,Home,L,0,1,Newcastle Utd,Hugo Lloris
Matchweek 4,Sun,Away,D,2,2,Arsenal,Hugo Lloris
Matchweek 5,Sat,Home,W,4,0,Crystal Palace,Hugo Lloris
Matchweek 6,Sat,Away,L,1,2,Leicester City,Harry Kane
Matchweek 7,Sat,Home,W,2,1,Southampton,Hugo Lloris
Matchweek 8,Sat,Away,L,0,3,Brighton,Hugo Lloris
Matchweek 9,Sat,Home,D,1,1,Watford,Harry Kane
Matchweek 10,Sun,Away,L,1,2,Liverpool,Harry Kane
Matchweek 11,Sun,Away,D,1,1,Everton,Ben Davies
Matchweek 12,Sat,Home,D,1,1,Sheffield Utd,Harry Kane
Matchweek 13,Sat,Away,W,3,2,West Ham,Harry Kane
Matchweek 14,Sat,Home,W,3,2,Bournemouth,Harry Kane
Matchweek 15,Wed,Away,L,1,2,Manchester Utd,Harry Kane
Matchweek 16,Sat,Home,W,5,0,Burnley,Harry Kane
Matchweek 17,Sun,Away,W,2,1,Wolves,Harry Kane
Matchweek 18,Sun,Home,L,0,2,Chelsea,Harry Kane
Matchweek 19,Thu,Home,W,2,1,Brighton,Harry Kane
Matchweek 20,Sat,Away,D,2,2,Norwich City,Harry Kane
Matchweek 21,Wed,Away,L,0,1,Southampton,Harry Kane
Matchweek 22,Sat,Home,L,0,1,Liverpool,Toby Alderweireld
Matchweek 23,Sat,Away,D,0,0,Watford,Jan Vertonghen
Matchweek 24,Wed,Home,W,2,1,Norwich City,Hugo Lloris
Matchweek 25,Sun,Home,W,2,0,Manchester City,Hugo Lloris
Matchweek 26,Sun,Away,W,3,2,Aston Villa,Hugo Lloris
Matchweek 27,Sat,Away,L,1,2,Chelsea,Hugo Lloris
Matchweek 28,Sun,Home,L,2,3,Wolves,Harry Winks
Matchweek 29,Sat,Away,D,1,1,Burnley,Hugo Lloris
Matchweek 30,Fri,Home,D,1,1,Manchester Utd,Hugo Lloris
Matchweek 31,Tue,Home,W,2,0,West Ham,Hugo Lloris
Matchweek 32,Thu,Away,L,1,3,Sheffield Utd,Hugo Lloris
Matchweek 33,Mon,Home,W,1,0,Everton,Hugo Lloris
Matchweek 34,Thu,Away,D,0,0,Bournemouth,Hugo Lloris
Matchweek 35,Sun,Home,W,2,1,Arsenal,Hugo Lloris
Matchweek 36,Wed,Away,W,3,1,Newcastle Utd,Hugo Lloris
Matchweek 37,Sun,Home,W,3,0,Leicester City,Hugo Lloris
Matchweek 38,Sun,Away,D,1,1,Crystal Palace,Hugo Lloris
